"cell_type","temporal_label","temporal_id","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC"
"Am1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"C2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"C3","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"CT1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Dm19","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm6","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"L1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"L2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"L3","unknown",0,NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",FALSE
"L4","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"L5","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Lat","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Lawf1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Lawf2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Li01","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li03","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li24","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li11","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li26","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li07","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li21","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li20","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li15","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li17","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li12","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li25","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Li09","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li18","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li02","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li04","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li08","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li28","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Li10","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
