"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Am1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"C2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,182,"N","N","N"
"C3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,165,"N","N","N"
"CT1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Dm13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm17","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm18","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm19","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm20","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","intrinsic",TRUE,NA,"N","N","N"
"Dm6","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"L1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,109,"N","N","N"
"L2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,108,"N","N","N"
"L3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",FALSE,110,"N","N","N"
"L4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,107,"N","N","N"
"L5","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,117,"N","N","N"
"Lat","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"Lawf1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,113,"N","N","N"
"Lawf2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,8,"N","N","N"
"Li01","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li02","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li03","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li04","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li05","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li07","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li08","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li09","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li10","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li11","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li12","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
